target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108100,CCNY,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.18659551088144158,-0.14314913276361105,0.8395840983728479,0.9694459027729656,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108424,KPNB1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.5013547117773287,0.47282883738004067,0.7315031115011835,0.7962459214261984,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108509,CAMTA2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,2,0.3333333333333333,0,0,-0.060344979824069445,-0.2447472697120909,0.7769536350184283,0.9981765657359696,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108561,C1QBP,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,2,0.3333333333333333,0.3170331992809193,0.28676070557573363,0.5240435611383567,0.6886228924395902,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108799,EZH1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,2,0.3333333333333333,0,0,-0.45473075767868204,-0.45442146546429873,0.749816519970472,0.8535604102463382,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108829,LRRC59,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.5591000631251811,0.5845831246009254,0.5702820632953569,0.6906139041668654,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000108848,LUC7L3,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.1140214027687204,0.03909309365276553,0.683269123590055,0.8723680258797043,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000109814,UGDH,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.4481126756290239,0.49019300282273265,0.828032066855513,0.98744105622778,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000109919,MTCH2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,2,0.3333333333333333,0.20857775872513934,0.18267392643254393,0.649872148294328,0.7023752955647914,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000111269,CREBL2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,0,0,-0.05915983516409136,-0.20783907905752172,0.4468619010435402,0.5590863679627586,TRUE
