tcga_code,gene_id,gene_symbol,baseline_tpm,organ_specificity_log2,logFC,p_value,q_value_project
KIRC,ENSG00000170689,HOXB9,16.1076,6.74422787859685,-4.596309063639476,7.231347288394538e-26,2.133903011546048e-24
KIRC,ENSG00000110195,FOLR1,49.3982,6.724279884679394,-0.8414504825478426,4.559570714622286e-6,8.816614620725491e-6
KIRC,ENSG00000052344,PRSS8,53.5725,6.697554124627858,-1.9888570625288655,1.250568930383528e-15,6.65313991175627e-15
KIRC,ENSG00000099834,CDHR5,36.8721,6.693645919041135,1.8087606278943902,1.6071219940373598e-5,2.9412236960334278e-5
KIRC,ENSG00000138079,SLC3A1,29.4032,6.686285653839362,0.3372699966015738,0.05712418242167344,0.07113374443398073
KIRC,ENSG00000165828,PRAP1,67.8362,6.669275360579526,-0.2952744268814578,0.3732175669218625,0.4105509660462081
KIRC,ENSG00000131910,NR0B2,14.7192,6.654553481546401,-7.635762468783013,4.9640954837811514e-27,1.8589439335547187e-25
KIRC,ENSG00000006611,USH1C,23.4371,6.649346352223283,1.8305950451643866,1.2725021650292998e-8,3.146015518542875e-8
KIRC,ENSG00000140675,SLC5A2,36.0052,6.643031290969959,-4.701898393005953,3.53529060840385e-15,1.7822177434502898e-14
KIRC,ENSG00000215644,GCGR,25.7848,6.636054882226567,-7.76048602820468,4.7569445539140846e-27,1.7908795884646655e-25
KIRC,ENSG00000137204,SLC22A7,16.7694,6.61518542158716,-3.3671323620066547,7.048818863750013e-11,2.198391944564015e-10
KIRC,ENSG00000101076,HNF4A,11.3798,6.578529563897547,0.3820703816569438,0.3185225498634373,0.3546253478220694
KIRC,ENSG00000172367,PDZD3,18.6139,6.568521990838513,-0.22455110805198814,0.4483818072066569,0.48533597364702746
KIRC,ENSG00000162460,TMEM82,9.11938,6.526597828079817,-0.9086802116350406,0.015060756187451374,0.02015786180504151
KIRC,ENSG00000142484,TM4SF5,9.02127,6.511162806902516,1.4139657284050196,5.416185958423505e-4,8.521390727864703e-4
KIRC,ENSG00000100079,LGALS2,59.3634,6.503832513147123,1.1759792907835909,2.082945489930655e-4,3.41873870731152e-4
KIRC,ENSG00000273706,LHX1,8.92517,6.495882202050281,-5.537797953570642,1.6872459413358224e-21,2.062319446954554e-20
KIRC,ENSG00000079557,AFM,8.77087,6.471003696948668,-4.402364512365761,9.272263094051431e-15,4.4546444719332466e-14
KIRC,ENSG00000007216,SLC13A2,9.85643,6.4656324811042305,-6.675975415352753,3.787069839677469e-26,1.174880112432491e-24
KIRC,ENSG00000130829,DUSP9,19.4641,6.4489784589746755,-7.822918586130866,1.4467524553717181e-31,1.6282121516358941e-29
KIRC,ENSG00000112499,SLC22A2,9.73384,6.445090560685599,-0.2434959381601373,0.28018406955520025,0.3151419139678341
KIRC,ENSG00000253313,C1orf210,19.1059,6.412374296905163,-1.7131237351385573,2.3577283462034835e-12,8.600830404995398e-12
KIRC,ENSG00000100362,PVALB,25.8323,6.391851848604117,-6.472480085954198,4.8551729976607064e-23,7.938620578400713e-22
KIRC,ENSG00000086159,AQP6,28.558,6.385738477060449,-7.995892991546135,1.5019195131163645e-24,3.4169476407006494e-23
KIRC,ENSG00000198914,POU3F3,24.8283,6.363859256341911,-0.18913139946894789,0.17426186682707442,0.2031646781092815
KIRC,ENSG00000120068,HOXB8,16.9032,6.3588230000513954,-3.011597087611751,1.5282206842253806e-21,1.8864698504574447e-20
KIRC,ENSG00000170927,PKHD1,8.80413,6.35858598193669,-1.59245987374448,2.3010145808704486e-12,8.402554458974348e-12
KIRC,ENSG00000129354,AP1M2,34.4731,6.348096799569448,-2.91905681929956,1.8695726873841677e-27,7.680858042655188e-26
KIRC,ENSG00000166828,SCNN1G,25.7038,6.347020606024286,-7.605445496955927,1.8043484276946807e-26,6.002579250497493e-25
KIRC,ENSG00000165215,CLDN3,30.8445,6.312844014769225,-0.9095812688042405,3.830796071980336e-6,7.459915627331795e-6
KIRC,ENSG00000019186,CYP24A1,12.7822,6.299511364864105,-2.621279352037147,4.112465671820542e-9,1.0672335175319394e-8
KIRC,ENSG00000012504,NR1H4,10.2099,6.297441702814294,0.9709405370263151,1.5013780112572363e-12,5.603484911303688e-12
KIRC,ENSG00000162897,FCAMR,7.74302,6.293337374238505,-1.409530025542949,7.230261074934407e-4,0.001122443787684072
KIRC,ENSG00000176387,HSD11B2,284.079,6.264683573810652,-4.317733788498407,6.429208494196719e-33,1.0795967723826522e-30
KIRC,ENSG00000116039,ATP6V1B1,88.8299,6.253598141292646,-5.900406678438078,2.362878022421078e-31,2.5122499094665914e-29
KIRC,ENSG00000147003,CLTRN,59.5757,6.241435332181727,0.24858922672551487,0.35519817453549585,0.39213581929673996
KIRC,ENSG00000115112,TFCP2L1,54.9775,6.219268637057347,-5.839850999998563,9.423946485708142e-31,8.307994156025536e-29
KIRC,ENSG00000158014,SLC30A2,13.0766,6.219134784505082,-4.4037062523025625,4.580635785391422e-19,3.793232561538619e-18
KIRC,ENSG00000132744,ACY3,39.6761,6.21490242592587,0.20616049862370633,0.4717228018944497,0.5084417240184803
KIRC,ENSG00000162399,BSND,8.48823,6.213403243709347,-9.883084114161383,2.1359819807383842e-32,3.1167659826526024e-30
KIRC,ENSG00000105707,HPN,170.718,6.194055685423566,0.13717810739196004,0.3693535858429803,0.40661757475757204
KIRC,ENSG00000145626,UGT3A1,7.10839,6.1716051631760145,-1.8079323174390871,2.338653983340364e-6,4.6592505630428835e-6
KIRC,ENSG00000167183,PRR15L,24.8862,6.144933348083998,-3.7062776479546087,6.770007345496575e-18,4.7986537827811234e-17
KIRC,ENSG00000081800,SLC13A1,6.93614,6.136712283680225,-1.073534003453231,0.014384952951115155,0.01930463240769342
KIRC,ENSG00000115221,ITGB6,14.5529,6.127847721405232,-2.5860623422491686,2.281816978920765e-13,9.374501677670979e-13
KIRC,ENSG00000128710,HOXD10,13.8217,6.106615615819895,-1.6137093082909597,1.5337225794576624e-14,7.179314676142748e-14
KIRC,ENSG00000161992,PRR35,8.78712,6.100884152001668,-8.615556495519067,2.0077433584714446e-36,1.9309015444790374e-33
KIRC,ENSG00000148702,HABP2,8.56807,6.055174716777281,1.1778056622484312,0.006695434388860846,0.009343842807170885
KIRC,ENSG00000168907,PLA2G4F,11.8052,6.047717262044792,-8.816795861635313,9.079073567392946e-31,8.037449311251044e-29
KIRC,ENSG00000163581,SLC2A2,6.25856,5.990628175478613,1.351022629564928,0.0023586701723955837,0.0034682565506668817
KIRC,ENSG00000205279,CTXN3,7.35864,5.983461144217151,-4.276591518649519,4.652930707040963e-11,1.4821847018905855e-10
KIRC,ENSG00000117472,TSPAN1,179.104,5.965190174023849,-1.5363891873073825,5.4241164697885105e-8,1.2646110883502515e-7
KIRC,ENSG00000179023,KLHDC7A,7.81949,5.963626499172864,-0.9852797639465614,8.447009964519057e-11,2.6117468483018295e-10
KIRC,ENSG00000180745,CLRN3,11.3718,5.960784952588427,2.362351831759558,3.7829905127901617e-10,1.096595605831131e-9
KIRC,ENSG00000184937,WT1,10.1536,5.926945331495787,-2.4577464794157993,1.0644416130725924e-8,2.6498947699011545e-8
KIRC,ENSG00000146038,DCDC2,18.9737,5.925935823592726,-1.630916431451699,4.758641459935054e-10,1.3642728456545512e-9
KIRC,ENSG00000197444,OGDHL,86.232,5.903402215000195,-2.7296998092072235,5.73264176465207e-20,5.388326719525034e-19
KIRC,ENSG00000154025,SLC5A10,15.9965,5.900379505124596,0.9228206357463571,0.007053745932549805,0.009819274718132034
KIRC,ENSG00000157551,KCNJ15,21.068,5.893464797879975,-1.500921230110168,9.512147877578836e-10,2.64673888471611e-9
KIRC,ENSG00000167941,SOST,7.05525,5.875560604214323,-6.861839202724573,1.227447229283392e-23,2.288134667592776e-22
KIRC,ENSG00000186510,CLCNKA,40.9531,5.864291056633326,-8.082263184919666,3.0046475397493954e-30,2.363283741487647e-28
KIRC,ENSG00000116771,AGMAT,34.5568,5.8544181654897915,-1.591313663243112,5.8017640747131795e-5,1.0071687257366381e-4
KIRC,ENSG00000197408,CYP2B6,5.55738,5.822062173364776,-5.723984151044549,1.2492606025596654e-23,2.3267478722673766e-22
KIRC,ENSG00000140519,RHCG,81.3723,5.818576677006552,-8.994828426562014,3.3276612405173313e-32,4.513247213260622e-30
